# 时间戳(ms),RTT(ms)
101600,16.18
101700,16.18
101800,16.18
101900,16.18
102000,16.18
102100,16.18
102200,16.18
102300,16.18
102400,16.18
102500,16.18
102600,16.18
102700,16.18
102800,16.18
102900,16.18
103000,16.18
103100,16.18
103200,16.18
103300,16.18
103400,16.18
103500,16.18
103600,16.18
103700,16.18
103800,16.18
103900,16.18
104000,16.18
104100,16.18
104200,16.18
104300,16.18
104400,16.18
104500,16.18
104600,16.18
104700,16.18
104800,16.18
104900,16.18
105000,16.18
105100,16.18
105200,16.18
105300,16.18
105400,16.18
105500,16.18
105600,16.18
105700,16.18
105800,16.18
105900,16.18
106000,16.18
106100,16.18
106200,16.18
106300,16.18
106400,16.18
106500,16.18
106600,16.18
106700,16.18
106800,16.18
106900,16.18
107000,16.18
107100,16.18
107200,16.18
107300,16.18
107400,16.18
107500,16.18
107600,16.18
107700,16.18
107800,16.18
107900,16.18
108000,16.18
108100,16.18
108200,16.18
108300,16.18
108400,16.18
108500,16.18
108600,16.18
108700,16.18
108800,16.18
108900,16.18
109000,16.18
109100,16.18
109200,16.18
109300,16.18
109400,16.18
109500,16.18
109600,16.18
109700,16.18
109800,16.18
109900,16.18
110000,16.18
110100,16.18
110200,16.18
110300,16.18
110400,16.18
110500,16.18
110600,16.18
110700,16.18
110800,16.18
110900,16.18
111000,16.18
111100,16.18
111200,16.18
111300,16.18
111400,16.18
111500,16.18
111600,16.18
111700,16.18
111800,16.18
111900,16.18
112000,16.18
112100,16.18
112200,16.18
112300,16.18
112400,16.18
112500,16.18
112600,16.18
112700,16.18
112800,16.18
112900,16.18
113000,16.18
113100,16.18
113200,16.18
113300,16.18
113400,16.18
113500,16.18
113600,16.18
113700,16.18
113800,16.18
113900,16.18
114000,16.18
114100,16.18
114200,16.18
114300,16.18
114400,16.18
114500,16.18
114600,16.18
114700,16.18
114800,16.18
114900,16.18
115000,16.18
115100,16.18
115200,16.18
115300,16.18
115400,16.18
115500,16.18
115600,16.18
115700,16.18
115800,16.18
115900,16.18
116000,16.18
116100,16.18
116200,16.18
116300,16.18
116400,16.18
116500,16.18
116600,16.18
116700,16.18
116800,16.18
116900,16.18
117000,16.18
117100,16.18
117200,16.18
117300,16.18
117400,16.18
117500,16.18
117600,16.18
117700,16.18
117800,16.18
117900,16.18
118000,16.18
118100,16.18
118200,16.18
118300,16.18
118400,16.18
118500,16.18
118600,16.18
118700,16.18
118800,16.18
118900,16.18
119000,16.18
119100,16.18
119200,16.18
119300,16.18
119400,16.18
119500,16.18
119600,16.18
119700,16.18
119800,16.18
119900,16.18
120000,16.18
120100,16.18
120200,16.18
120300,16.18
120400,16.18
120500,16.18
120600,16.18
120700,16.18
120800,16.18
120900,16.18
121000,16.18
121100,16.18
121200,16.18
121300,16.18
121400,16.18
121500,16.18
121600,16.18
