# 时间戳(ms),抖动(ms)
145200,38.89
145300,38.89
145400,38.89
145500,38.89
145600,38.89
145700,38.89
145800,38.89
145900,38.89
146000,38.89
146100,38.89
146200,38.89
146300,38.89
146400,38.89
146500,38.89
146600,38.89
146700,38.89
146800,38.89
146900,38.89
147000,38.89
147100,38.89
147200,38.89
147300,38.89
147400,38.89
147500,38.89
147600,38.89
147700,38.89
147800,38.89
147900,38.89
148000,38.89
148100,38.89
148200,38.89
148300,38.89
148400,38.89
148500,38.89
148600,38.89
148700,38.89
148800,38.89
148900,38.89
149000,38.89
149100,38.89
149200,38.89
149300,38.89
149400,38.89
149500,38.89
149600,38.89
149700,38.89
149800,38.89
149900,38.89
150000,38.89
150100,38.89
150200,38.89
150300,38.89
150400,38.89
150500,38.89
150600,38.89
150700,38.89
150800,38.89
150900,38.89
151000,38.89
151100,38.89
151200,38.89
151300,38.89
151400,38.89
151500,38.89
151600,38.89
151700,38.89
151800,38.89
151900,38.89
152000,38.89
152100,38.89
152200,38.89
152300,38.89
152400,38.89
152500,38.89
152600,38.89
152700,38.89
152800,38.89
152900,38.89
153000,38.89
153100,38.89
153200,38.89
153300,38.89
153400,38.89
153500,38.89
153600,38.89
153700,38.89
153800,38.89
153900,38.89
154000,38.89
154100,38.89
154200,38.89
154300,38.89
154400,38.89
154500,38.89
154600,38.89
154700,38.89
154800,38.89
154900,38.89
155000,38.89
155100,38.89
155200,38.89
155300,38.89
155400,38.89
155500,38.89
155600,38.89
155700,38.89
155800,38.89
155900,38.89
156000,38.89
156100,38.89
156200,38.89
156300,38.89
156400,38.89
156500,38.89
156600,38.89
156700,38.89
156800,38.89
156900,38.89
157000,38.89
157100,38.89
157200,38.89
157300,38.89
157400,38.89
157500,38.89
157600,38.89
157700,38.89
157800,38.89
157900,38.89
158000,38.89
158100,38.89
158200,38.89
158300,38.89
158400,38.89
158500,38.89
158600,38.89
158700,38.89
158800,38.89
158900,38.89
159000,38.89
159100,38.89
159200,38.89
159300,38.89
159400,38.89
159500,38.89
159600,38.89
159700,38.89
159800,38.89
159900,38.89
160000,38.89
160100,38.89
160200,38.89
160300,38.89
160400,38.89
160500,38.89
160600,38.89
160700,38.89
160800,38.89
160900,38.89
161000,38.89
161100,38.89
161200,38.89
161300,38.89
161400,38.89
161500,38.89
161600,38.89
161700,38.89
161800,38.89
161900,38.89
162000,38.89
162100,38.89
162200,38.89
162300,38.89
162400,38.89
162500,38.89
162600,38.89
162700,38.89
162800,38.89
162900,38.89
163000,38.89
163100,38.89
163200,38.89
163300,38.89
163400,38.89
163500,38.89
163600,38.89
163700,38.89
163800,38.89
163900,38.89
164000,38.89
164100,38.89
164200,38.89
164300,38.89
164400,38.89
164500,38.89
164600,38.89
164700,38.89
164800,38.89
164900,38.89
165000,38.89
165100,38.89
165200,38.89
165300,38.89
165400,38.89
165500,38.89
165600,38.89
165700,38.89
165800,38.89
165900,38.89
166000,38.89
166100,38.89
166200,38.89
166300,38.89
166400,38.89
166500,38.89
166600,38.89
166700,38.89
166800,38.89
166900,38.89
167000,38.89
167100,38.89
167200,38.89
167300,38.89
167400,38.89
167500,38.89
167600,38.89
167700,38.89
167800,38.89
167900,38.89
168000,38.89
168100,38.89
168200,38.89
168300,38.89
168400,38.89
168500,38.89
168600,38.89
168700,38.89
168800,38.89
168900,38.89
169000,38.89
169100,38.89
169200,38.89
169300,38.89
169400,38.89
169500,38.89
169600,38.89
169700,38.89
169800,38.89
169900,38.89
170000,38.89
170100,38.89
170200,38.89
170300,38.89
170400,38.89
170500,38.89
170600,38.89
170700,38.89
170800,38.89
170900,38.89
171000,38.89
171100,38.89
171200,38.89
171300,38.89
171400,38.89
171500,38.89
171600,38.89
171700,38.89
171800,38.89
171900,38.89
172000,38.89
172100,38.89
172200,38.89
172300,38.89
172400,38.89
172500,38.89
172600,38.89
172700,38.89
172800,38.89
172900,38.89
173000,38.89
173100,38.89
173200,38.89
173300,38.89
173400,38.89
173500,38.89
173600,38.89
173700,38.89
173800,38.89
173900,38.89
174000,38.89
174100,38.89
174200,38.89
174300,38.89
174400,38.89
174500,38.89
174600,38.89
174700,38.89
174800,38.89
174900,38.89
175000,38.89
175100,38.89
175200,38.89
175300,38.89
175400,38.89
175500,38.89
175600,38.89
175700,38.89
175800,38.89
175900,38.89
176000,38.89
176100,38.89
176200,38.89
176300,38.89
176400,38.89
176500,38.89
176600,38.89
176700,38.89
176800,38.89
176900,38.89
177000,38.89
177100,38.89
177200,38.89
177300,38.89
177400,38.89
177500,38.89
177600,38.89
177700,38.89
177800,38.89
177900,38.89
178000,38.89
178100,38.89
178200,38.89
178300,38.89
178400,38.89
178500,38.89
178600,38.89
178700,38.89
178800,38.89
178900,38.89
179000,38.89
179100,38.89
179200,38.89
179300,38.89
179400,38.89
179500,38.89
179600,38.89
179700,38.89
179800,38.89
179900,38.89
180000,38.89
180100,38.89
180200,38.89
180300,38.89
180400,38.89
180500,38.89
180600,38.89
180700,38.89
180800,38.89
180900,38.89
181000,38.89
181100,38.89
181200,38.89
181300,38.89
181400,38.89
181500,38.89
181600,38.89
181700,38.89
181800,38.89
181900,38.89
182000,38.89
182100,38.89
182200,38.89
182300,38.89
182400,38.89
182500,38.89
182600,38.89
182700,38.89
182800,38.89
182900,38.89
183000,38.89
183100,38.89
183200,38.89
183300,38.89
183400,38.89
183500,38.89
183600,38.89
183700,38.89
183800,38.89
183900,38.89
184000,38.89
184100,38.89
184200,38.89
184300,38.89
184400,38.89
184500,38.89
184600,38.89
184700,38.89
184800,38.89
184900,38.89
185000,38.89
185100,38.89
185200,38.89
185300,38.89
185400,38.89
185500,38.89
185600,38.89
185700,38.89
185800,38.89
185900,38.89
186000,38.89
186100,38.89
186200,38.89
186300,38.89
186400,38.89
186500,38.89
186600,38.89
186700,38.89
186800,38.89
186900,38.89
187000,38.89
187100,38.89
187200,38.89
187300,38.89
187400,38.89
187500,38.89
187600,38.89
187700,38.89
187800,38.89
187900,38.89
188000,38.89
188100,38.89
188200,38.89
188300,38.89
188400,38.89
188500,38.89
188600,38.89
188700,38.89
188800,38.89
188900,38.89
189000,38.89
189100,38.89
189200,38.89
189300,38.89
189400,38.89
189500,38.89
189600,38.89
189700,38.89
189800,38.89
189900,38.89
190000,38.89
190100,38.89
190200,38.89
190300,38.89
190400,38.89
190500,38.89
190600,38.89
190700,38.89
190800,38.89
190900,38.89
191000,38.89
191100,38.89
191200,38.89
191300,38.89
191400,38.89
191500,38.89
191600,38.89
191700,38.89
191800,38.89
191900,38.89
192000,38.89
192100,38.89
192200,38.89
192300,38.89
192400,38.89
192500,38.89
192600,38.89
192700,38.89
192800,38.89
192900,38.89
193000,38.89
193100,38.89
193200,38.89
193300,38.89
193400,38.89
193500,38.89
193600,38.89
193700,38.89
193800,38.89
193900,38.89
194000,38.89
194100,38.89
194200,38.89
194300,38.89
194400,38.89
194500,38.89
194600,38.89
194700,38.89
194800,38.89
194900,38.89
195000,38.89
195100,38.89
195200,38.89
195300,38.89
195400,38.89
195500,38.89
195600,38.89
195700,38.89
